EMS_NO,FAC_NAME,COUNTY_NAME,DOCUMENT_NO,TRANSGRESS_DATE,TRANSGRESS_LAW,PENALTY_MONEY,PENALTY_DATE,ISPETITION,PETITION_RESULTS,APPEAL_OR_RESCIND,TRANSGRESS_TYPE,FAC_ADDRESS,TRANSGRESS_NAME,OPENINFOR,LAWSUIT_DATE_1,ILLEGAL_MONEY,TRACK_ILLEGAL_MONEY,COUNTY_CODE,PETITION_AGENCY,FAC_UNIFORMNO,TRANSGRESS_ADDRESS,SUBJECT,GIST_DEFINE,IMPROVE_DEADLINE,INSPECTION_CONDITION,TRANSGRESS_CONTROL_ID,IS_IMPROVE,INSPECTION_DATETIME_S,PENALTYKIND,ISIMPORTANT,PAYMENTSTATE,ISREMINDER,ISADMINCOURT,IsReduceMoney
A39097018158,環球水泥股份有限公司,臺南市,20-109-070004,2020-04-21,空氣污染防制法第23條第2項，固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法第4條，固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法第6條第2款，固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法第6條第3款，固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法第8條,100000,2020-07-10,0,,,固定空污,臺北市中山區南京東路二段一二五號一○樓,環球水泥股份有限公司台南預拌混凝土場,"行政院環境保護署109年4月21日派員督察，貴公司台南預拌混凝土場於本市南區從事混凝土拌合業，稽查時作業中，發現現場缺失如下：1.進出車輛未清洗輪胎將髒污帶至大門出入口，致路面色差，違反逸散管辦法第6條第2款規定，記缺失4點；2.車行路徑雖舖設混凝土，惟為有效清洗場內道路致髒污色差，違反逸散管辦法第6條第3款規定，記缺失4點；3.場區部分堆置區堆置砂石等逸散性粒狀污染物質，未設置或採行有效抑制粒狀污染物設施規定，違反逸散管辦法第4條第1項（1-5 ）款規定管制，記缺失10點；場內裸露區域採行灑水設施，惟噴灑量或頻率不足，違反逸散管辦法第8條規定，記缺失4點；以上依「違反固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法之缺失記點及處理原則」缺失點數總計22點。",,,,32,,07568009,臺南市南區彰南里中華西路一段五九號,罰鍰新臺幣100000元整，限改條件:檢具改善完成報告書至本局報請查驗。限改日期：109年08月12日。處環境講習2小時整。,違反空氣污染防制法第23條第2項暨固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法第4條、第6條第2款、第3款、第8條規定，爰依同法第62條第1項第4款暨公私場所違反空氣污染防制法應處罰鍰額度裁量準則第3條第1項附表規定裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-08-12,,D2809232,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,否,否,
A41A9672,綠大地興業有限公司,臺北市,44-109-070008,2020-04-21,廢棄物清理法第31條第1項第3款,12000,2020-07-10,0,,,廢棄物清除處理機構,臺北市南港區中南街一○號(前棟),綠大地興業有限公司,"一般事業廢棄物之清運機具未裝置即時追蹤系統維持正常運作(經查貴公司清運車輛車號:KEG-0239，於109年4月21日載運台北榮民總醫院廢玻璃(R-0401)於109年4月26日載運廢木材混合物(D-0799)載運前述廢棄物之車輛應裝置GPS，但未裝置GPS)(污染程度A=1,污染特性B=2,危害程度C=1)",,,,01,,42842659,臺北市信義區市府路1號7樓(西北區),罰鍰新臺幣12000元整。處環境講習4小時整。,違反廢棄物清理法第31條第1項第3款之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A41A9672,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
L0508581,隆泰環保服務有限公司,臺中市,44-109-040002,2020-04-20,廢棄物清理法第31條第1項第2款,6000,2020-04-30,0,,,廢棄物清除處理機構,臺中市大里區金城里塗城路六七三巷一一弄一○號一樓,隆泰環保服務有限公司,未依規申報營運紀錄一節，已涉違反廢清法第31條第1項第2款，依法告發處分。,,,,31,,80050403,臺中市西區民權路99號,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第31條第1項第2款之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,L0508581,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
F01B6179,易暉建材行,新北市,40-109-060014,2020-04-20,廢棄物清理法第31條第1項第2款,12000,2020-06-29,0,,,事業廢棄物,新北市板橋區互助街二六號一樓,潘煜文(即易暉建材行),"臺端經營之易暉建材行為核可之丙級廢棄物清除機構(行為時許可證字號: 新北環廢丙清字第1038號)，經查逾期申報108年12月份營運紀錄。",,,,08,,01954617,新北市板橋區互助街二六號一樓,罰鍰新臺幣12000元整。處環境講習2小時整。,違反廢棄物清理法第31條第1項第2款暨「以網路傳輸方式申報廢棄物之產出、貯存、清除、處理、再利用、輸出及輸入情形之申報格式、項目、內容及頻率」公告事項八規定，並依廢棄物清理法第52條及違反廢棄物清理法罰鍰額度裁罰準則第2條規定裁處。依環境教育法第23條之規定裁處環境講習。依環境教育法第23條第2款之規定裁處環境講習,,,F01B6179,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
H48A2167,宇泰塗料股份有限公司,桃園市,34-109-050005,2020-04-20,毒性及關注化學物質管理法第9條第2項，毒性及關注化學物質運作與釋放量紀錄管理辦法第4條,66000,2020-05-17,0,,,毒性化學物質,桃園市龜山區兔坑里大同路九四九巷一八號一樓,宇泰塗料股份有限公司龜山廠,"(一)依據毒性及關注化學物質管理法第9條第2項暨「毒性及關注化學物質運作與釋放量紀錄管理辦法」第4條第1項規定：「毒性化學物質之運作人，應於每月10日前完成申報前1個月之運作紀錄」。(二)案查本府環境保護局於109年4月20日下午13時50分派員至貴公司龜山廠(管制編號：H4885385）稽查，查貴公司龜山廠109年3、4月「壬基酚」(含量：95至100%W/W，計3,482.2公斤)毒性化學物質運作紀錄表，分別使用於109年3月2日(計292.6公斤)、4日(計125公斤)、5日(計292.6公斤)、9日(計207.4公斤)、14日(計292.6公斤)、16日(計292.6公斤)、17日(計585.2公斤)、18日(計292.6公斤)、23日(計220公斤)、24日(計220公斤)、25日(計512.6公斤)、26日(計220公斤)，且貴公司另於109年3月25日買入計3,800公斤，與稽查當日現場運作(使用、貯存)結餘量相符，惟貴公司未依法於109年4月10日前完成前一個月(3月)之運作量申報紀錄，核已違反毒性及關注化學物質管理法第9條第2項暨「毒性及關注化學物質運作與釋放量紀錄管理辦法」第4條規定，依法告發。",,,,10,,31279964,桃園市龜山區兔坑里大同路九四九巷一六號及一八號,罰鍰新臺幣66000元整。限改日期：109年06月16日。處環境講習2小時整。,違反毒性及關注化學物質管理法第9條第2項及毒性及關注化學物質運作與釋放量紀錄管理辦法第4條之規定，並依毒性及關注化學物質管理法第59條第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-06-16,,H4885385,已改善完成,,罰鍰(非連續處罰),,無分期已繳清,否,否,
F14A5717,樽鴻通運有限公司,新北市,44-109-060007,2020-04-20,廢棄物清理法第31條第1項第3款,6000,2020-06-19,0,,,廢棄物清除處理機構,新北市蘆洲區環堤大道一八號九樓,樽鴻通運有限公司,貴公司核可之廢棄物清除車輛（車號:11-CM、11-DG、65-DC、99-J3）裝置有即時追蹤系統（GPS），當車輛啟動時，如資料有缺漏或不正確者，或當週如無啟動，皆應於次週星期五前以網路連線方式向本局報備(應逐車逐日進行報備說明)。惟本局109年4月20日於行政院環境保護署事業廢棄物清運機具即時監控系統勾稽108年12月29日至109年4月11日期間（109年第1週至第15週）之車輛GPS軌跡回傳資料，發現上開車輛於該期間之GPS軌跡回傳資料長期多日顯示為「無軌跡回傳」，另車輛（車號:65-DC）於109年1月6日（第2週）及109年2月22日（第8週）有GPS軌跡回傳資料缺漏情形發生。,,,,08,,12836223,新北市蘆洲區環堤大道一八號九樓,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第31條第1項第2款暨行政院環境保護署「以網路傳輸方式申報廢棄物之產出、貯存、清除、處理、再利用、輸出及輸入情形之申報格式、項目、內容及頻率」公告事項八規定，並依廢棄物清理法第52條及違反廢棄物清理法罰鍰額度裁罰準則第2條規定裁處。依環境教育法第23條第2款之規定裁處環境講習,,,F14A5717,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
T51A0119,昱成生物科技股份有限公司,屏東縣,20-109-070029,2020-04-20,空氣污染防制法第20條第1項，固定污染源空氣污染物排放標準第2條,100000,2020-07-29,0,,,固定空污,屏東縣鹽埔鄉新圍村德二街二○六號,昱成生物科技股份有限公司,"貴公司從事飼料製造作業，經行政院環境保護署南區環境督察大隊於109年4月20日派員於飼料製造程序(M01)之排放管道(編號P001)採集異味污染物樣品1組，檢測值4,120逾固定污染源空氣污染物排放標準（排放標準值2,000），已違反空氣污染防制法第20條第1項暨固定污染源空氣污染物排放標準第2條規定。",,,,20,,24247432,屏東縣鹽埔鄉新圍村德二街206號,罰鍰新臺幣100000元整。限改日期：109年09月15日。處環境講習2小時整。,違反空氣污染防制法第20條第1項及固定污染源空氣污染物排放標準第2條之規定，並依空氣污染防制法第62條第1項第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-09-15,,T51A0119,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,否,否,
A4306002,如意交通企業股份有限公司,臺北市,41-109-061239,2020-04-20,廢棄物清理法第27條第2款,1200,2020-06-09,0,,,一般廢棄物,臺北市士林區大南路二七五號一樓,如意交通企業股份有限公司,"車輛載運剩餘土石方、建築材料、一般廢棄物或其他物品，於運輸途中滲漏、散落污染道路、地面 (污泥掉落污染地面)  (污染程度A=1,污染特性B=1,危害程度C=1) (車號:K*-*9[車頭])",,,,01,,84255929,臺北市大安區辛亥路3段330號對面,罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。,,,A4306002,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
A4504142,聖昌企業有限公司,臺北市,44-109-040046,2020-04-20,廢棄物清理法第42條，公民營廢棄物清除處理機構許可管理辦法第20條第1項,6000,2020-04-30,0,,,廢棄物清除處理機構,臺北市信義區忠孝東路五段四一○號一二樓之一,聖昌企業有限公司,"清除、處理機構從事廢棄物清除、處理業務，應事先與委託人訂定契約書 (清除紀錄表) (污染程度Ａ=1，污染特性Ｂ=1，危害程度Ｃ=1)",,,,01,,97357976,臺北市信義區忠孝東路5段410號12樓之1,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第42條及公民營廢棄物清除處理機構許可管理辦法第20條第1項之規定，並依廢棄物清理法第55條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A4504142,不須改善,,罰鍰(非連續處罰),,尚未繳款,是,否,
N2405838,國弘企業股份有限公司,彰化縣,30-109-060007,2020-04-20,水污染防治法第14條第1項,60000,2020-06-05,0,,,水污染,彰化縣永靖鄉崙子村九分路三八八巷一○號,國弘企業股份有限公司,查核比對廢水處理設施現場與水污染防治許可文件，發現（T01-12）中繼槽已停用，並於沉澱槽（2）後新增快混槽、慢混槽及加壓浮除系統，且已使用中；另於放流槽旁新增一浮渣收集槽收集加壓浮除系統產生之浮渣，與核准之水污染防治許可證（文件）登記之單元流程不符，未依規定於變更前送主管機關審查核准而逕行變更。,,,,14,,80066854,彰化縣永靖鄉崙子村九分路三八八巷一○號,罰鍰新臺幣60000元整，貴公司已於109年4月1日提出水污染防治許可證變更申請，不另訂限期改善期限。處環境講習2小時整。,違反水污染防治法第14條第1項規定，爰依水污染防治法第45條第2項及「違反水污染防治法罰鍰額度裁罰準則」第2條、第3條、第5條及其附表3、附表8規定裁處。依環境教育法第23條第2款之規定裁處環境講習,,,N2405838,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,
F0702414,晃成企業股份有限公司,新北市,32-109-070001,2020-04-20,土壤及地下水污染整治法第41條第3項第1款,100000,2020-07-01,0,,,土壤及地下水污染,新北市樹林區三龍街四五巷八號,晃成企業股份有限公司,貴公司所屬土地經本局於109年4月20日公告為土壤污染控制場址，並劃定土壤污染管制區。,,,,08,,22962260,新北市樹林區三龍段107、107(1)地號等2筆土地,罰鍰新臺幣100000元整。處環境講習4小時整。,違反土壤及地下水污染整治法第41條第3項第1款規定，爰依同條款暨違反土壤及地下水污染整治法裁罰基準第2條規定裁處。依環境教育法第23條第2款之規定裁處環境講習,,,F0702414,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
H47097007898,真新科技股份有限公司,臺南市,40-109-070003,2020-04-20,廢棄物清理法第52條,6000,2020-07-01,0,,,事業廢棄物,桃園市大園區中山南路三○二號二樓,真新科技股份有限公司,貴公司係行政院環境保護署指定公告應以網路傳輸方式申報廢棄物之產出、貯存、清除、處理等情形之事業，經本局107年11月8日至事業廢棄物申報及管理資訊系統勾稽查核，查貴公司107年1月及3月至8月未申報原料及產品產出情形，其中3月至8月亦未申報廢棄物產出、貯存情形，依違反廢棄物清理法第31條第1項第2款規定，經本局告發裁處在案，並限期於109年4月17日前完成改善。惟經本局於109年4月20日複查，貴公司仍未完成前揭缺失之改善。,,,,32,,12321668,臺南市新市區環東路一段三一巷一二號三樓,罰鍰新臺幣6000元整。處環境講習1小時整。,依違反廢棄物清理法第52條之規定，爰依同法同條暨違反廢棄物清理法罰鍰額度裁罰準則第2條第2款附表2項次9之規定裁處。依環境教育法第23條第2款之規定裁處環境講習,,,D0304332,不須改善,,按次連續處罰罰鍰,,尚未繳款,否,否,
A4005733,力鼎國際環保工程有限公司,臺北市,40-109-070011,2020-04-20,廢棄物清理法第42條，公民營廢棄物清除處理機構許可管理辦法第18條,6000,2020-07-03,0,,,事業廢棄物,臺北市文山區下崙路三○巷二號二樓,力鼎國際環保工程有限公司,"公民營廢棄物清除處理機構未依本法及其他相關規定及審查通過之申請文件內容或許可事項辦理(於場址內收受木材,木板,營建混合物等)(污染程度A=1,污染特性B=1,危害程度C=1)",,,,01,,12861448,臺北市文山區木柵路5段18號之3內,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第42條及公民營廢棄物清除處理機構許可管理辦法第18條之規定，並依廢棄物清理法第55條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A4005733,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
R1009279,宗揚鋁業有限公司,臺南市,20-109-050018,2020-04-20,空氣污染防制法第23條第1項,100000,2020-05-18,0,,,固定空污,臺南市仁德區保安里開發五路三一號,宗揚鋁業有限公司,貴公司於本市仁德區從事鋁二級冶煉製造業，貴公司領有鋁二級冶煉程序(M01)固定污染源操作許可證(字號:南市府環操證字第D0840-01號)經本局稽查人員於109年4月20日依據微型感測器污染物高值通報名單現場稽查，稽查時，現場鋁二級冶煉程序(M01)正常運作中，查核發現其製程回火爐(E010)氣罩收集管線縫隙間有明顯大量煙塵逸散至廠區外，貴公司未有效收集空氣污染物，有稽查單(編號:D004345)及照片、影片可稽。,,,,32,,80466943,臺南市仁德區保安里開發五路三一號,罰鍰新臺幣100000元整，限改條件:檢具改善完成報告書至本局報請查驗。限改日期：109年08月31日。處環境講習2小時整。,違反空氣污染防制法第23條第1項規定，依同法第62條第1項第4款暨公私場所違反空氣污染防制法應處罰鍰額度裁量準則第3條第1項附表規定裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-08-31,,R1009279,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,是,否,
A39097002892,福住建設股份有限公司,臺北市,22-109-050038,2020-04-20,噪音管制法第8條第4款,3000,2020-05-11,0,,,噪音污染,臺北市中山區龍江路五九號,福住建設股份有限公司-107建字第0122號新建工程,營建工程未經核准，於本市第二類噪音管制區晚上10時至翌日上午8時，使用動力機械操作從事施工致妨礙安寧。(工程名稱:嘉聖興天樂裡住宅大樓新建工程、建造執照:北市107建字第0122號),,,,01,,19049019,臺北市信義區松勇路47號旁,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,A45B4827,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
D1001394,永君塑膠股份有限公司,臺南市,21-109-050064,2020-04-20,移動污染源空氣污染物排放標準第5條，移動污染源空氣污染物排放標準第3條第1款第2目，之2空氣污染防制法第36條第1項，空氣污染防制法第46條第1項,6000,2020-05-07,0,,,移動污染,臺南市仁德區保安里開發四路三三及三五號,永君塑膠股份有限公司,貴公司所有101年9月出廠(第5期車)的BDA-1623號自用小貨車，於109年3月18日行經本市仁德區崑崙路往西向86快速道路，本局派員於該路段上目視稽查判煙認定有污染空氣之虞，本局依空氣污染防制法第46條第1項規定通知109年4月23日前到檢，該車輛於109年4月20日至本局柴油車排煙檢測站喜樹站完成檢驗，檢測結果黑煙達35%，超過移動污染源空氣污染物排放標準第5條規定之限值-出廠於101年1月1日以後排放標準為20%。,,,,32,,22416468,臺南市南區濱南路491號,罰鍰新臺幣6000元整。限改日期：109年06月08日。處環境講習1小時整。,違反空氣污染防制法第36條第1項及空氣污染防制法第46條第1項及移動污染源空氣污染物排放標準第5條、第3條第1款第2目之2之規定，並依空氣污染防制法第79條裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-06-08,,D1001394,已改善完成,,限期改善，罰鍰(非連續處罰),否,無分期已繳清,否,否,
H49A1481,巨青電子有限公司,桃園市,40-109-060021,2020-04-20,廢棄物清理法第31條第1項第1款,12000,2020-06-05,0,,,事業廢棄物,桃園市八德區瑞豐里豐田路一六○號一樓,巨青電子有限公司,案經本局針對事業廢棄物清理計畫書與網路申報資料進行勾稽(區間：108年8月~109年1月)，發現貴事業於108年12月及109年1月份申報廢木材(R-0701)產出量分別為7.87公噸及11.11公噸，已逾事業廢棄物清理計畫書每月最大產出量(6公噸)百分之十，核已違反廢棄物清理法第31條第1項第1款暨事業廢棄物清理計畫書審查管理辦法第6條規定。,,,,10,,27610618,桃園市八德區瑞豐里豐田路一六○號一樓,罰鍰新臺幣12000元整。處環境講習4小時整。,違反廢棄物清理法第31條第1項第1款之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,H49A1481,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
P5400249,華夏科學農化股份有限公司,雲林縣,34-109-060001,2020-04-20,毒性及關注化學物質管理法第8條第4項,60000,2020-06-01,0,,,毒性化學物質,雲林縣莿桐鄉甘厝村中村一二號,華夏科學農化股份有限公司,稽查當時該公司第四類毒性化學物質乙腈核可文件已逾有效期限109年3月18日，經查該公司於實驗室尚有貯存該類毒性化學物質，惟有效期限已到屬無核可文件之情事，放不可於公司內貯存該類毒性化學物質；上述已違反毒性及關注化學物質管理法第8條第4項。,,,,16,,99-653259-00,雲林縣莿桐鄉甘西村中村12號,罰鍰新臺幣60000元整。處環境講習2小時整。,違反毒性及關注化學物質管理法第8條第4項之規定，並依毒性及關注化學物質管理法第59條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,P5400249,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
B23097006848,麗明營造股份有限公司,臺中市,41-109-060758,2020-04-20,廢棄物清理法第27條第2款,4800,2020-06-19,0,,,一般廢棄物,臺中市西屯區惠來里府會園道一六九號四樓,麗明營造股份有限公司-永盛國際置業股份有限公司新建工程,本局於109年4月20日至「永盛國際置業股份有限公司新建工程(管制編號:B107LG1038-1)」工地稽查，發現營建工程未妥善防範致工地車輛之輪胎附帶廢土或污泥污染路面。,,,,31,,60289420,臺中市烏日區成功嶺段60之4地號等36筆,罰鍰新臺幣4800元整。,違反廢棄物清理法第27條第2款之規定，依廢棄物清理法第50條第3款及「違反廢棄物清理法罰鍰額度裁罰準則」第2條第1款規定裁處。,,,B0005070,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
H4800908,坤業加油站,桃園市,20-109-050019,2020-04-20,空氣污染防制法第23條第2項,100000,2020-05-18,1,,,固定空污,桃園市龜山區東萬壽路二○號,坤業加油站,本府環境保護局於109年4月20日派員至貴公司進行加油槍氣油比檢測作業，並委由勇鑫環境科技股份有限公司進行採樣及分析作業。查貴公司油氣回收設備為集中式無後處理，氣油比合格範圍為0.88~1.20。當日檢測19支，合格13支，不合格6支，合格率68.4%，未達總檢測數70%，核已違反空氣污染防制法第23條第2項及加油站油氣回收設施管理辦法第8條之1規定。,2020-05-27,,,10,環保署訴願會,23250296,桃園市龜山區東萬壽路二○號,罰鍰新臺幣100000元整。處環境講習2小時整。,違反空氣污染防制法第23條第2項之規定，並依空氣污染防制法第62條第1項第4款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,H4800908,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,
T47A0937,慈宏生物科技有限公司,屏東縣,20-109-070013,2020-04-20,固定污染源空氣污染物排放標準第2條，空氣污染防制法第20條第1項,400000,2020-07-17,0,,,固定空污,屏東縣長治鄉繁昌村中山路一五○之七號,慈宏生物科技有限公司,"貴公司從事飼料製造作業，經行政院環境保護署南區環境督察大隊於109年4月20日派員於飼料製造程序(M01)之排放管道(編號P101)採集異味污染物樣品1組，檢測值13,000逾固定污染源空氣污染物排放標準（排放標準值2,000），已違反空氣污染防制法第20條第1項暨固定污染源空氣污染物排放標準第2條規定。",,,,20,,53609813,屏東縣長治鄉繁昌村中山路150-7號,罰鍰新臺幣400000元整。限改日期：109年09月01日。處環境講習2小時整。,違反空氣污染防制法第20條第1項及固定污染源空氣污染物排放標準第2條之規定，並依空氣污染防制法第62條第1項第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-09-01,,T47A0937,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,否,否,
A45097002932,盛德營造股份有限公司,臺北市,22-109-050032,2020-04-20,噪音管制標準第6條，噪音管制法第9條第1項第4款,18000,2020-05-11,0,,,噪音污染,臺北市信義區松德路六五號三樓,廣宇建設實業股份有限公司-大同區橋北段集合住宅新建工程108建字第0165號,"營建工程- 噪音(20Hz至20kHz)超過管制標準。(測量值：72.8分貝、管制標準值：72分貝) (工程名稱:廣宇建設萬和案新建工程、建造執照:北市108建字第0165號)",,,,01,,60295491,臺北市大同區迪化街2段146巷與民族西路交口旁,罰鍰新臺幣18000元整。處環境講習4小時整。,違反噪音管制法第9條第1項第4款及噪音管制標準第6條之規定，並依噪音管制法第24條第1項第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A38C0011,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
V7504800,爽快汽車貨運有限公司,臺東縣,40-109-070004,2020-04-19,廢棄物清理法第9條第1項,60000,2020-07-31,0,,,事業廢棄物,臺東縣臺東市強國街二五二號二樓,爽快汽車貨運有限公司,貴公司所屬車輛(KLD-9936)109年4月19日11時50分載運禽畜糞未攜帶清運三聯單，違反廢棄物清理法。,,,,21,,97013902,臺東縣卑南鄉台9線南下351.5K處,罰鍰新臺幣60000元整。處環境講習2小時整。,違反廢棄物清理法第9條第1項之規定，並依廢棄物清理法第49條第2款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,V7504800,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
M3601073,三順紙業有限公司竹山廠,南投縣,40-109-060001,2020-04-19,廢棄物清理法第39條第1項,6000,2020-06-24,0,,,事業廢棄物,南投縣竹山鎮中和里前山路二段二一二號,三順紙業有限公司竹山廠,"該公司於109年4月17日(五)廠內有營運並使用廢木材作為鍋爐燃料 ，惟廢棄物清理計畫書(含再利用廢木材檢核)目前申請變更展延中，尚未通過。有關該公司未取得再利用廢木材檢核通過即使用廢木材作為燃料乙事，已違反廢棄物清理法第39條第1項規定。",,,,15,,96903759,南投縣竹山鎮中和里前山路2段212號,罰鍰新臺幣6000元整。限改日期：109年04月19日。處環境講習1小時整。,違反廢棄物清理法第39條第1項之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-04-19,,M3601073,待改善,,罰鍰(非連續處罰)，限期改善,,尚未繳款,否,否,
A36A5651,大陸工程股份有限公司,臺北市,22-109-050110,2020-04-19,噪音管制法第8條第4款,3000,2020-05-25,0,,,噪音污染,臺北市大安區敦化南路二段九五號,大陸工程股份有限公司-107建字第0063號新建工程,營建工程未經核准，於本市第二類噪音管制區假日中午12時至下午2時，使用動力機械操作從事施工致妨礙安寧。(工程名稱:廣慈博愛園區整體開發計畫公共住宅地E標統包工程、建造執照:107建字第0063號),,,,01,,33020007,臺北市信義區大道路119號對面,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,A45B3938,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
S3300405,富順畜牧場(前吳金助),高雄市,41-109-061148,2020-04-19,廢棄物清理法第27條第2款,2400,2020-06-17,0,,,一般廢棄物,高雄市彌陀區進學路一八一巷一八號,富順畜牧場(前吳金助),廢污水處理設施之廢污水溢流至地面，影響環境衛生。,,,,33,,,高雄市彌陀區彌陀區海尾里進學路181巷18號,罰鍰新臺幣2400元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款及違反廢棄物清理法罰鍰額度裁罰準則裁處。,,,S3300405,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
A3505412,根基營造股份有限公司,臺北市,22-109-050106,2020-04-18,噪音管制法第8條第4款,3000,2020-05-25,0,,,噪音污染,"臺北市大安區和平東路三段一三一號 六樓",根基營造股份有限公司-108建字第0017號新建工程,營建工程未經核准，於本市第三類噪音管制區假日晚上6時至翌日上午8時使用動力機械從事施工致妨礙安寧。(工程名稱:台北市大安區瑞安段二小段838地號等5筆土地新建工程、建造執照:108建字第0017號),,,,01,,43876760,臺北市大安區復興南路2段210巷1號對面營建工地,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,A35C7646,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
B23A5922,聯勝光電股份有限公司,新竹市,41-109-060011,2020-04-18,廢棄物清理法第27條第1款,1200,2020-06-08,0,,,一般廢棄物,臺中市西屯區科園三路八號,聯勝光電股份有限公司,車號:(BCC-6658)任意棄置菸蒂。,,,,04,,12800908,新竹市民生路192號附近,罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第1款之規定，並依廢棄物清理法第50條第3款裁處。,,,B23A5922,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
G37A1157,環全交通股份有限公司,宜蘭縣,41-109-070008,2020-04-18,廢棄物清理法第27條第2款,1200,2020-07-14,0,,,一般廢棄物,宜蘭縣冬山鄉順安村鹿安路五一七巷六四號一樓,環全交通股份有限公司,貴公司所屬車輛(車斗車號：HF-123)，於109年4月18日1時45分，行經本縣五結鄉錦草中路與宜22線約6.5公里交會處，載運逸散性物料，雖有覆蓋防塵網，但覆蓋不確實導致車斗上之物料散落，污染道路路面。,,,,09,,47078324,宜蘭縣五結鄉錦草中路與宜22線約6.5公里交會處,罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。,,,G37A1157,不須改善,,罰鍰(非連續處罰),,無分期已繳清,否,否,
